track_id,class_name,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,num_visible_frames,num_observed_motion_frames,num_weak_motion_frames,num_detector_only_frames,observed_motion_ratio,weak_motion_ratio,mean_motion_inside_bbox,max_motion_inside_bbox,mean_motion_coverage,mean_motion_density,max_motion_density,associated_motion_blob_count,mean_associated_blob_importance,track_displacement_px,normalized_track_displacement,trajectory_length,mean_speed,median_speed,bbox_jitter_score,class_weight,track_motion_importance,is_stationary_track,is_moving_track,track_state
1,car,6,1998,0.2002,66.6666,66.4664,333,6,5,322,0.018018,0.015015,0.014544,0.087736,0.013352,0.699071,3.099299,6,0.285068,6.31,0.002866,297.08,4.4697,3.415,47.0515,0.95,0.0,True,False,stationary_vehicle
2,car,6,1998,0.2002,66.6666,66.4664,333,0,0,333,0.0,0.0,0.014204,0.027137,0.008748,0.700523,1.387521,0,0.0,0.92,0.000416,364.65,5.4862,3.8945,364.6501,0.95,0.0,True,False,stationary_vehicle
3,car,6,1998,0.2002,66.6666,66.4664,333,0,0,333,0.0,0.0,0.015191,0.028543,0.007153,0.752435,1.443384,0,0.0,7.71,0.003502,608.32,9.1522,5.4747,78.8565,0.95,0.0,True,False,stationary_vehicle
4,car,6,1998,0.2002,66.6666,66.4664,333,0,1,332,0.0,0.003003,0.017675,0.032575,0.016951,0.87735,1.813275,0,0.0,5.41,0.002455,506.2,7.6159,6.0866,93.5972,0.95,0.0,True,False,stationary_vehicle
5,truck,6,1998,0.2002,66.6666,66.4664,326,0,1,325,0.0,0.003067,0.019281,0.036883,0.022662,0.961518,1.933258,0,0.0,1.85,0.000841,322.19,4.8475,4.0734,173.9525,0.9,0.0,True,False,stationary_vehicle
6,car,6,1998,0.2002,66.6666,66.4664,332,0,0,332,0.0,0.0,0.014895,0.027141,0.008089,0.734669,1.47756,0,0.0,1.07,0.000484,393.05,5.9135,4.82,368.8847,0.95,0.0,True,False,stationary_vehicle
7,car,6,246,0.2002,8.2082,8.008,10,3,1,6,0.3,0.1,0.027049,0.035287,0.03715,1.70422,2.184233,3,0.3,6.53,0.002965,13.85,1.7294,6.4925,2.1205,0.95,0.0,True,False,stationary_vehicle
10,car,6,12,0.2002,0.4004,0.2002,2,0,0,2,0.0,0.0,0.020895,0.02197,0.014668,1.253375,1.414204,0,0.0,16.88,0.007663,16.88,84.3249,84.4092,1.0,0.95,0.0,True,False,weak_only_stationary
11,car,6,1998,0.2002,66.6666,66.4664,319,6,12,301,0.018809,0.037618,0.021243,0.156581,0.028502,1.059282,8.376637,6,0.418333,4.54,0.002062,472.71,7.1121,4.0265,104.0899,0.95,0.0,True,False,stationary_vehicle
20,car,30,126,1.001,4.2042,3.2032,16,0,2,14,0.0,0.125,0.020752,0.029083,0.024185,1.224763,1.926409,0,0.0,17.86,0.008106,35.41,11.053,5.0361,1.9827,0.95,0.0,True,False,weak_only_stationary
35,truck,54,54,1.8018,1.8018,0.2,1,0,0,1,0.0,0.0,0.012511,0.012511,0.001938,0.710872,0.710872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,True,False,weak_only_stationary
166,truck,216,222,7.2072,7.4074,0.2002,2,0,0,2,0.0,0.0,0.011997,0.014447,0.003216,0.699353,0.856286,0,0.0,1.22,0.000555,1.22,6.1088,6.1149,1.0,0.9,0.0,True,False,weak_only_stationary
192,car,240,246,8.008,8.2082,0.2002,2,0,0,2,0.0,0.0,0.017971,0.018397,0.008563,1.308901,1.444056,0,0.0,1.52,0.000692,1.52,7.6141,7.6217,1.0,0.95,0.0,True,False,weak_only_stationary
193,car,240,324,8.008,10.8108,2.8028,15,0,0,15,0.0,0.0,0.019415,0.028026,0.021782,1.067479,1.47083,0,0.0,2.81,0.001277,17.34,6.1869,6.0755,6.1663,0.95,0.0,True,False,stationary_vehicle
219,car,264,264,8.8088,8.8088,0.2,1,0,0,1,0.0,0.0,0.015235,0.015235,0.001321,0.797245,0.797245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,True,False,weak_only_stationary
234,truck,276,276,9.2092,9.2092,0.2,1,0,0,1,0.0,0.0,0.016035,0.016035,0.001064,0.996508,0.996508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,True,False,weak_only_stationary
