track_id,class_name,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,num_visible_frames,num_observed_motion_frames,num_weak_motion_frames,num_detector_only_frames,observed_motion_ratio,weak_motion_ratio,mean_motion_inside_bbox,max_motion_inside_bbox,mean_motion_coverage,mean_motion_density,max_motion_density,associated_motion_blob_count,mean_associated_blob_importance,track_displacement_px,normalized_track_displacement,trajectory_length,mean_speed,median_speed,bbox_jitter_score,class_weight,track_motion_importance,is_stationary_track,is_moving_track,track_state
1,car,6,1998,0.2002,66.6666,66.4664,333,6,5,322,0.018018,0.015015,0.014544,0.087736,0.013352,0.699071,3.099299,6,0.285068,6.31,0.002866,297.08,4.4697,3.415,47.0515,0.95,0.0,True,False,stationary_vehicle
2,car,6,1998,0.2002,66.6666,66.4664,333,0,0,333,0.0,0.0,0.014204,0.027137,0.008748,0.700523,1.387521,0,0.0,0.92,0.000416,364.65,5.4862,3.8945,364.6501,0.95,0.0,True,False,stationary_vehicle
3,car,6,1998,0.2002,66.6666,66.4664,333,0,0,333,0.0,0.0,0.015191,0.028543,0.007153,0.752435,1.443384,0,0.0,7.71,0.003502,608.32,9.1522,5.4747,78.8565,0.95,0.0,True,False,stationary_vehicle
4,car,6,1998,0.2002,66.6666,66.4664,333,0,1,332,0.0,0.003003,0.017675,0.032575,0.016951,0.87735,1.813275,0,0.0,5.41,0.002455,506.2,7.6159,6.0866,93.5972,0.95,0.0,True,False,stationary_vehicle
5,truck,6,1998,0.2002,66.6666,66.4664,326,0,1,325,0.0,0.003067,0.019281,0.036883,0.022662,0.961518,1.933258,0,0.0,1.85,0.000841,322.19,4.8475,4.0734,173.9525,0.9,0.0,True,False,stationary_vehicle
6,car,6,1998,0.2002,66.6666,66.4664,332,0,0,332,0.0,0.0,0.014895,0.027141,0.008089,0.734669,1.47756,0,0.0,1.07,0.000484,393.05,5.9135,4.82,368.8847,0.95,0.0,True,False,stationary_vehicle
7,car,6,246,0.2002,8.2082,8.008,10,3,1,6,0.3,0.1,0.027049,0.035287,0.03715,1.70422,2.184233,3,0.3,6.53,0.002965,13.85,1.7294,6.4925,2.1205,0.95,0.0,True,False,stationary_vehicle
8,truck,6,990,0.2002,33.033,32.8328,164,20,0,144,0.121951,0.0,0.027579,0.167069,0.061378,1.294036,6.399299,20,0.280045,101.42,0.04604,319.29,9.7249,6.0926,3.1482,0.9,0.026703,False,True,moving_vehicle
9,car,6,96,0.2002,3.2032,3.003,12,2,10,0,0.166667,0.833333,0.298003,0.436146,0.960012,17.998023,28.075054,2,0.04,150.53,0.06833,151.22,50.3573,53.4499,1.0046,0.95,0.529803,False,True,moving_vehicle
10,car,6,12,0.2002,0.4004,0.2002,2,0,0,2,0.0,0.0,0.020895,0.02197,0.014668,1.253375,1.414204,0,0.0,16.88,0.007663,16.88,84.3249,84.4092,1.0,0.95,0.0,True,False,weak_only_stationary
11,car,6,1998,0.2002,66.6666,66.4664,319,6,12,301,0.018809,0.037618,0.021243,0.156581,0.028502,1.059282,8.376637,6,0.418333,4.54,0.002062,472.71,7.1121,4.0265,104.0899,0.95,0.0,True,False,stationary_vehicle
20,car,30,126,1.001,4.2042,3.2032,16,0,2,14,0.0,0.125,0.020752,0.029083,0.024185,1.224763,1.926409,0,0.0,17.86,0.008106,35.41,11.053,5.0361,1.9827,0.95,0.0,True,False,weak_only_stationary
35,truck,54,54,1.8018,1.8018,0.2,1,0,0,1,0.0,0.0,0.012511,0.012511,0.001938,0.710872,0.710872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,True,False,weak_only_stationary
70,car,108,198,3.6036,6.6066,3.003,4,2,2,0,0.5,0.5,0.416091,0.587573,0.978177,26.006525,32.906167,2,0.0,142.27,0.064581,142.37,47.4093,89.231,1.0007,0.95,0.696835,False,True,moving_vehicle
166,truck,216,222,7.2072,7.4074,0.2002,2,0,0,2,0.0,0.0,0.011997,0.014447,0.003216,0.699353,0.856286,0,0.0,1.22,0.000555,1.22,6.1088,6.1149,1.0,0.9,0.0,True,False,weak_only_stationary
192,car,240,246,8.008,8.2082,0.2002,2,0,0,2,0.0,0.0,0.017971,0.018397,0.008563,1.308901,1.444056,0,0.0,1.52,0.000692,1.52,7.6141,7.6217,1.0,0.95,0.0,True,False,weak_only_stationary
