video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag
VIRAT_S_050300_07_001623_001690,6,0.2002,0,raw,0,5,13,12,0.0,0.0,1056,108,1632,378,576,270,0.075,12738.3379,0.081908,1.0,0.081908,1344.0,243.0,2.1333,3.651459,5.707621,1.0,False,0.130337,0.0,0.0,0.0,0.0,0.522831,True
VIRAT_S_050300_07_001623_001690,12,0.4004,0,raw,0,6,13,1,2.785,0.876,1248,324,1344,378,96,54,0.0025,525.2648,0.101324,0.736039,0.101324,1296.0,351.0,1.7778,19.996001,4.388349,1.0,True,0.086227,0.0,0.0,0.0,0.0,0.52888,True
VIRAT_S_050300_07_001623_001690,12,0.4004,1,raw,1,6,15,1,3.6309,0.5121,1440,324,1536,378,96,54,0.0025,766.3342,0.147827,0.674715,0.147827,1488.0,351.0,1.7778,19.996001,6.402375,1.0,True,0.161844,0.0,0.0,0.0,0.0,0.52888,True
VIRAT_S_050300_07_001623_001690,12,0.4004,2,raw,2,3,12,4,3.5733,0.6149,1056,108,1248,270,192,162,0.015,4892.9619,0.15731,1.0,0.15731,1152.0,189.0,1.1852,8.164694,6.81308,1.0,False,0.176247,0.0,0.0,0.0,0.0,0.52888,True
VIRAT_S_050300_07_001623_001690,18,0.6006,0,raw,0,5,15,3,3.7749,0.5644,1344,270,1536,378,192,108,0.01,4017.5017,0.193745,1.0,0.193745,1440.0,324.0,1.7778,9.9995,9.10415,0.5,False,0.188657,0.0,0.0,0.0,0.0,0.522148,True
VIRAT_S_050300_07_001623_001690,18,0.6006,1,raw,1,3,12,5,4.1028,0.6931,1056,162,1344,270,288,108,0.015,4842.7383,0.155695,0.999756,0.155695,1200.0,216.0,2.6667,8.164694,7.316158,0.245131,False,0.169496,0.0,0.0,0.0,0.0,0.522148,True
VIRAT_S_050300_07_001623_001690,24,0.8008,0,raw,0,6,15,5,5.0859,0.8044,1344,270,1632,378,288,108,0.015,4750.9189,0.152743,0.866855,0.152743,1488.0,324.0,2.6667,8.164694,5.304281,0.245131,False,0.170332,0.0,0.0,0.0,0.0,0.525952,True
VIRAT_S_050300_07_001623_001690,24,0.8008,1,raw,1,3,12,5,4.897,0.7356,1056,108,1344,270,288,162,0.0225,6365.8384,0.136442,1.0,0.136442,1200.0,189.0,1.7778,6.666519,4.738199,0.490261,False,0.160687,0.0,0.0,0.0,0.0,0.525952,True
VIRAT_S_050300_07_001623_001690,30,1.001,0,raw,0,5,14,5,4.1436,0.793,1344,216,1536,378,192,162,0.015,4577.002,0.147152,0.889486,0.147152,1440.0,297.0,1.1852,8.164694,6.773683,0.655947,False,0.17509,0.0,0.0,0.0,0.0,0.529685,True
VIRAT_S_050300_07_001623_001690,30,1.001,1,raw,1,3,12,5,4.7432,0.7242,1056,108,1344,270,288,162,0.0225,7029.9043,0.150675,1.0,0.150675,1200.0,189.0,1.7778,6.666519,6.935886,0.490261,False,0.156743,0.0,0.0,0.0,0.0,0.529685,True
VIRAT_S_050300_07_001623_001690,36,1.2012,0,raw,0,5,15,3,4.359,0.7967,1344,270,1536,378,192,108,0.01,3390.6216,0.163514,0.800393,0.163514,1440.0,324.0,1.7778,9.9995,7.222423,0.5,False,0.172454,0.0,0.0,0.0,0.0,0.526292,True
VIRAT_S_050300_07_001623_001690,36,1.2012,1,raw,1,3,12,4,5.227,0.7416,1056,162,1344,270,288,108,0.015,5248.6968,0.168747,1.0,0.168747,1200.0,216.0,2.6667,8.164694,7.453561,0.245131,False,0.171521,0.0,0.0,0.0,0.0,0.526292,True
VIRAT_S_050300_07_001623_001690,42,1.4014,0,raw,0,6,15,4,4.1784,0.7299,1344,270,1536,432,192,162,0.015,4258.2842,0.136905,0.827398,0.136905,1440.0,351.0,1.1852,8.164694,7.546898,0.435788,False,0.163612,0.0,0.0,0.0,0.0,0.529837,True
VIRAT_S_050300_07_001623_001690,42,1.4014,1,raw,1,3,12,5,4.8318,0.706,1056,108,1344,270,288,162,0.0225,6196.4658,0.132812,1.0,0.132812,1200.0,189.0,1.7778,6.666519,7.321274,0.490261,False,0.157922,0.0,0.0,0.0,0.0,0.529837,True
VIRAT_S_050300_07_001623_001690,48,1.6016,0,raw,0,5,14,2,4.4427,0.7472,1344,270,1536,324,192,54,0.005,1917.884,0.184981,0.776674,0.184981,1440.0,297.0,3.5556,14.140722,8.02396,1.0,False,0.208333,0.0,0.0,0.0,0.0,0.53645,True
VIRAT_S_050300_07_001623_001690,48,1.6016,1,raw,1,4,12,4,5.0137,0.7705,1056,162,1344,270,288,108,0.015,4480.8506,0.14406,0.927101,0.14406,1200.0,216.0,2.6667,8.164694,6.24893,0.905391,False,0.163677,0.0,0.0,0.0,0.0,0.53645,True
VIRAT_S_050300_07_001623_001690,48,1.6016,2,raw,2,7,15,1,5.3657,0.476,1440,378,1536,432,96,54,0.0025,1154.3284,0.222671,1.0,0.222671,1488.0,405.0,1.7778,19.996001,9.658858,1.0,True,0.159722,0.0,0.0,0.0,0.0,0.53645,True
VIRAT_S_050300_07_001623_001690,54,1.8018,0,raw,0,5,15,1,5.8112,0.766,1440,270,1536,324,96,54,0.0025,690.8911,0.133274,0.714001,0.133274,1488.0,297.0,1.7778,19.996001,10.138651,1.0,True,0.203704,0.0,0.0,0.0,0.0,0.532845,True
VIRAT_S_050300_07_001623_001690,54,1.8018,1,raw,1,8,16,4,12.4709,0.7138,1440,378,1632,486,192,108,0.01,4024.4443,0.19408,1.0,0.19408,1536.0,432.0,1.7778,9.9995,14.764424,1.0,False,0.086468,0.0,0.0,0.0,0.0,0.532845,True
VIRAT_S_050300_07_001623_001690,54,1.8018,2,raw,2,3,12,3,5.5485,0.7427,1056,162,1248,270,192,108,0.01,2191.5024,0.105686,0.561225,0.105686,1152.0,216.0,1.7778,9.9995,8.039935,1.0,False,0.172164,0.0,0.0,0.0,0.0,0.532845,True
VIRAT_S_050300_07_001623_001690,54,1.8018,3,raw,3,5,13,1,5.6055,0.504,1248,270,1344,324,96,54,0.0025,654.7325,0.126299,0.767086,0.126299,1296.0,297.0,1.7778,19.996001,9.608034,0.0,True,0.113619,0.0,0.0,0.0,0.0,0.532845,True
VIRAT_S_050300_07_001623_001690,60,2.002,0,raw,0,5,15,1,5.2138,0.5058,1440,270,1536,324,96,54,0.0025,600.0165,0.115744,0.664818,0.115744,1488.0,297.0,1.7778,19.996001,6.059925,0.854817,True,0.201389,0.0,0.0,0.0,0.0,0.536254,True
VIRAT_S_050300_07_001623_001690,60,2.002,1,raw,1,8,16,4,17.4981,0.9894,1440,378,1632,486,192,108,0.01,5269.1875,0.254108,1.0,0.254108,1536.0,432.0,1.7778,9.9995,13.304169,0.490261,False,0.090085,0.0,0.0,0.0,0.0,0.536254,True
VIRAT_S_050300_07_001623_001690,60,2.002,2,raw,2,3,12,3,6.3361,0.7724,1056,162,1248,270,192,108,0.01,2345.3413,0.113105,0.52701,0.113105,1152.0,216.0,1.7778,9.9995,5.921751,0.5,False,0.161217,0.0,0.0,0.0,0.0,0.536254,True
VIRAT_S_050300_07_001623_001690,60,2.002,3,raw,3,5,13,1,8.7938,0.5277,1248,270,1344,324,96,54,0.0025,957.0633,0.184619,0.802829,0.184619,1296.0,297.0,1.7778,19.996001,9.665955,0.0,True,0.130015,0.0,0.0,0.0,0.0,0.536254,True
VIRAT_S_050300_07_001623_001690,66,2.2022,0,raw,0,8,16,4,20.1596,0.9178,1536,378,1728,540,192,162,0.015,6029.8477,0.193861,1.0,0.193861,1632.0,459.0,1.1852,8.164694,13.502458,1.0,False,0.07327,0.0,0.0,0.0,0.0,0.534591,True
VIRAT_S_050300_07_001623_001690,66,2.2022,1,raw,1,3,11,1,3.5937,0.73,1056,162,1152,216,96,54,0.0025,560.7556,0.10817,0.50676,0.10817,1104.0,189.0,1.7778,19.996001,7.5341,1.0,True,0.155864,0.0,0.0,0.0,0.0,0.534591,True
VIRAT_S_050300_07_001623_001690,66,2.2022,2,raw,2,4,12,1,6.9785,0.892,1152,216,1248,270,96,54,0.0025,630.1085,0.121549,0.500047,0.121549,1200.0,243.0,1.7778,19.996001,8.465899,0.0,True,0.127315,0.0,0.0,0.0,0.0,0.534591,True
VIRAT_S_050300_07_001623_001690,66,2.2022,3,raw,3,5,13,1,10.9788,0.651,1248,270,1344,324,96,54,0.0025,1120.3372,0.216114,0.819939,0.216114,1296.0,297.0,1.7778,19.996001,15.052425,0.0,True,0.14294,0.0,0.0,0.0,0.0,0.534591,True
VIRAT_S_050300_07_001623_001690,72,2.4024,0,raw,0,8,16,4,23.7749,0.9153,1536,432,1728,540,192,108,0.01,6009.187,0.289795,1.0,0.289795,1632.0,486.0,1.7778,9.9995,14.885774,0.245131,False,0.07065,0.0,0.0,0.0,0.0,0.535391,True
VIRAT_S_050300_07_001623_001690,72,2.4024,1,raw,1,5,12,3,8.1618,0.854,1152,216,1344,324,192,108,0.01,2646.0857,0.127608,0.763613,0.127608,1248.0,270.0,1.7778,9.9995,6.554802,0.435788,False,0.13696,0.0,0.0,0.0,0.0,0.535391,True
VIRAT_S_050300_07_001623_001690,78,2.6026,0,raw,0,9,17,5,26.2549,0.9531,1536,432,1728,594,192,162,0.015,7623.0986,0.245084,1.0,0.245084,1632.0,513.0,1.1852,8.164694,15.77636,0.245131,False,0.066229,0.0,0.0,0.0,0.0,0.524771,True
VIRAT_S_050300_07_001623_001690,78,2.6026,1,raw,1,5,12,3,9.832,0.8967,1152,216,1344,324,192,108,0.01,2858.4934,0.137852,0.769114,0.137852,1248.0,270.0,1.7778,9.9995,8.873679,0.0,False,0.152826,0.0,0.0,0.0,0.0,0.524771,True
VIRAT_S_050300_07_001623_001690,84,2.8028,0,raw,0,9,17,5,27.0693,0.7756,1632,432,1824,594,192,162,0.015,8053.1943,0.258912,1.0,0.258912,1728.0,513.0,1.1852,8.164694,12.222193,0.871576,False,0.071631,0.0,0.0,0.0,0.0,0.529132,True
VIRAT_S_050300_07_001623_001690,84,2.8028,1,raw,1,5,14,2,7.3462,0.7679,1248,270,1440,324,192,54,0.005,1631.8164,0.15739,0.770172,0.15739,1344.0,297.0,3.5556,14.140722,7.429738,0.905391,False,0.17284,0.0,0.0,0.0,0.0,0.529132,True
