group_id,motion_pattern,selection_status,rejection_reason,replacement_reason,selection_reason,pattern_reason,start_sec,end_sec,duration_sec,original_score,revised_event_score,event_relevance_score,event_score,selected_rank_before,selected_rank_after,duration_score,persistence_score,high_importance_blob_score,spatial_compactness_score,human_scale_motion_score,vehicle_only_penalty,short_event_penalty,interaction_without_person_penalty,motion_score,object_proximity_score,interaction_score,interaction_dwell_score,semantic_anchor_score,stop_or_slowdown_score,localized_persistence_score,small_critical_motion_score,transit_penalty,background_flow_penalty,jitter_penalty,net_displacement_ratio,path_linearity,direction_consistency,speed_mean,speed_cv,stop_ratio,dwell_ratio,object_proximity_ratio,dwell_near_object_ratio,person_vehicle_dwell_ratio,interaction_ratio,person_near_frames,vehicle_near_frames,mean_blob_importance,max_blob_importance,high_importance_frame_ratio,door_trunk_ratio,entrance_ratio,mean_bbox_area_ratio,mean_flow_coherence,num_member_blobs,num_blob_active_frames,bbox_sequence_len
5,event_motion,selected,,,revised_score_rank,localized_vehicle_dwell_motion,27.027,30.6306,3.6036,2.0466,2.466715,2.0466,0.481934,1,2,0.2574,0.5181,0.548,0.975,0.0,0.6342,0.1992,0.0,0.7864,0.8158,0.2368,0.3947,0.1053,1.0,0.3152,0.61,0.3,0.0786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5263,0.5263,0.0,0.0,0,10,0.2627,0.503,0.2222,0.0,0.0,0.0025,0.8104,9,9,19
7,event_motion,rejected,max_roi_tracks_reached,,,strong_interaction_score,47.4474,49.4494,2.002,2.024,1.53706,2.024,0.527682,2,4,0.143,0.0738,0.5785,0.975,0.0,0.7682,0.5551,0.3068,0.3864,1.0,0.4091,0.6818,0.1818,1.0,0.0493,0.493,0.3,0.0819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9091,0.9091,0.0,0.0,0,10,0.3697,0.3697,1.0,0.0,0.0,0.0025,0.9442,1,1,11
8,event_motion,rejected,max_roi_tracks_reached,,,localized_vehicle_dwell_motion;strong_interaction_score,49.8498,52.052,2.2022,1.9614,1.276645,1.9614,0.54428,3,8,0.1573,0.1325,0.2183,0.975,0.0,0.8,0.5106,0.3375,0.4594,1.0,0.45,0.75,0.2,1.0,0.0492,0.343,0.3,0.0808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,12,0.1845,0.2141,0.0,0.0,0.0,0.0025,0.6982,2,2,12
11,event_motion,rejected,max_roi_tracks_reached,,,localized_vehicle_dwell_motion;strong_interaction_score,64.6646,66.6666,2.002,1.8699,1.52176,1.8699,0.610991,4,5,0.143,0.2926,0.6816,0.956,0.0,0.8,0.5551,0.3375,0.6972,1.0,0.45,0.5455,0.2,1.0,0.184,0.6195,0.6,0.0791,0.0,0.025,1.0,1.0,0.0589,1.4142,0.6667,0.6667,1.0,0.7273,0.0,0.0,0,11,0.345,0.595,0.5,0.0,0.0,0.0044,0.9325,4,4,11
4,event_motion,selected,,,long_persistent_priority,localized_vehicle_dwell_motion;strong_interaction_score,21.8218,32.4324,10.6106,1.7999,3.107535,1.7999,0.641362,5,1,0.7579,0.812,0.8662,0.95,0.6987,0.8,0.0,0.3375,0.9352,1.0,0.45,0.3194,0.2,0.4847,0.5137,0.8108,0.45,0.0787,0.0,0.2574,0.3584,0.0,0.1302,1.0617,0.359,0.359,1.0,0.4259,0.0,0.0,0,54,0.428,0.685,0.725,0.0,0.0,0.005,0.7624,43,40,54
9,event_motion,rejected,max_roi_tracks_reached,,,localized_vehicle_dwell_motion;strong_interaction_score,55.8558,58.058,2.2022,1.5859,1.34236,1.5859,0.60884,6,7,0.1573,0.2233,0.8268,0.958,0.0,0.8,0.5106,0.3375,0.7833,1.0,0.45,0.5,0.2,0.675,0.197,0.69,0.6,0.0761,0.0,0.0395,1.0,1.0,0.1398,1.0,0.5,0.5,1.0,0.6667,0.0,0.0,0,12,0.4926,0.775,0.6667,0.0,0.0,0.0042,0.9576,3,3,12
10,event_motion,rejected,max_roi_tracks_reached,,,strong_interaction_score,62.2622,64.2642,2.002,1.5666,0.624595,1.5666,0.481938,7,11,0.143,0.0681,0.166,0.975,0.0,0.8,0.5551,0.3375,0.1932,1.0,0.45,0.6137,0.2,1.0,0.0207,0.2605,0.45,0.0783,0.0,0.0023,0.4667,0.7143,0.0035,0.6831,1.0,1.0,1.0,0.8182,0.0,0.0,0,11,0.155,0.155,0.0,0.0,0.0,0.0025,0.4894,1,1,11
1,ambiguous_motion,candidate,ambiguous_motion,,,unclear_event_relevance,0.2002,2.2022,2.002,1.252,0.628655,1.252,0.231142,8,10,0.143,0.0673,0.3095,0.25,0.0,0.7364,0.5551,0.0,0.3237,0.9818,0.0,0.6137,0.0,1.0,0.0167,0.0,0.3,0.0784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8182,0.8182,0.0,0.0,0,9,0.3,0.3,0.0,0.0,0.0,0.075,0.0,1,1,11
6,ambiguous_motion,candidate,ambiguous_motion,,,unclear_event_relevance,28.2282,36.2362,8.008,1.2233,2.263085,1.2233,0.286649,9,3,0.572,0.7602,0.6435,0.854,0.379,0.8,0.0,0.0,0.6767,1.0,0.0,0.4939,0.0,0.9662,0.1426,0.0,0.3,0.0794,0.0,0.1186,0.5404,0.0,0.0485,1.3036,0.625,0.625,1.0,0.6585,0.0,0.0,0,41,0.2852,0.535,0.303,0.0,0.0,0.0146,0.8452,33,33,41
2,ambiguous_motion,candidate,ambiguous_motion,,,unclear_event_relevance,0.2002,66.6666,66.4664,0.2282,1.48436,0.2282,0.200928,10,6,1.0,0.8255,0.8029,0.721,0.0,0.8,0.0,0.0,0.6684,1.0,0.0,0.2748,0.0,0.495,0.138,0.0,0.45,0.2296,0.0,0.2,0.0277,0.0,0.1548,1.2302,0.3667,0.3667,1.0,0.3664,0.0,0.0,0,333,0.276,0.775,0.5166,0.0,0.0,0.0279,0.8092,672,331,333
