video_name,sampled_idx,frame_idx,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,bbox_area_ratio,center_x,center_y
VIRAT_S_050300_07_001623_001690,0,6,0.2002,1,2,car,0.853956,983,820,1228,927,0.01264155,1105.87,873.54
VIRAT_S_050300_07_001623_001690,0,6,0.2002,2,2,car,0.715472,637,783,901,884,0.01285983,769.5,834.19
VIRAT_S_050300_07_001623_001690,0,6,0.2002,3,2,car,0.707145,939,721,1182,818,0.01132652,1060.95,770.11
VIRAT_S_050300_07_001623_001690,0,6,0.2002,4,2,car,0.579046,932,656,1139,733,0.00768907,1036.08,695.05
VIRAT_S_050300_07_001623_001690,0,6,0.2002,5,7,truck,0.542638,101,574,306,688,0.01133922,203.75,631.56
VIRAT_S_050300_07_001623_001690,0,6,0.2002,6,2,car,0.522548,881,570,1114,655,0.00955948,998.32,612.86
VIRAT_S_050300_07_001623_001690,0,6,0.2002,7,2,car,0.499143,1288,255,1339,285,0.00073378,1313.85,270.69
VIRAT_S_050300_07_001623_001690,0,6,0.2002,8,7,truck,0.490142,635,645,898,776,0.01665531,766.98,711.28
VIRAT_S_050300_07_001623_001690,0,6,0.2002,9,2,car,0.420834,1512,311,1575,346,0.00107789,1544.23,329.31
VIRAT_S_050300_07_001623_001690,0,6,0.2002,10,2,car,0.356326,702,450,842,502,0.00351975,772.65,476.8
VIRAT_S_050300_07_001623_001690,0,6,0.2002,11,7,truck,0.27038,697,441,839,502,0.00418575,768.81,472.27
VIRAT_S_050300_07_001623_001690,1,12,0.4004,1,2,car,0.848466,982,818,1229,927,0.01291197,1106.14,872.93
VIRAT_S_050300_07_001623_001690,1,12,0.4004,2,2,car,0.723818,638,784,901,884,0.01271969,770.27,834.43
VIRAT_S_050300_07_001623_001690,1,12,0.4004,3,2,car,0.686671,941,721,1181,817,0.01114868,1061.62,769.82
VIRAT_S_050300_07_001623_001690,1,12,0.4004,4,2,car,0.538801,932,656,1139,734,0.00769095,1036.03,695.49
VIRAT_S_050300_07_001623_001690,1,12,0.4004,5,7,truck,0.574065,99,573,309,691,0.01184586,204.34,632.61
VIRAT_S_050300_07_001623_001690,1,12,0.4004,6,2,car,0.52225,880,570,1117,657,0.00991021,999.41,614.18
VIRAT_S_050300_07_001623_001690,1,12,0.4004,7,2,car,0.445328,1288,254,1341,285,0.00077251,1314.95,270.0
VIRAT_S_050300_07_001623_001690,1,12,0.4004,8,7,truck,0.482487,636,650,895,778,0.01597132,765.89,714.09
VIRAT_S_050300_07_001623_001690,1,12,0.4004,9,2,car,0.449979,1501,305,1568,342,0.00118993,1534.89,324.11
VIRAT_S_050300_07_001623_001690,1,12,0.4004,10,2,car,0.439439,724,454,854,503,0.00307671,789.42,478.74
VIRAT_S_050300_07_001623_001690,2,18,0.6006,1,2,car,0.836394,979,814,1233,926,0.01369664,1106.46,870.54
