video_name,frame_idx,timestamp_sec,blob_id_in_frame,merge_stage,source_raw_blob_ids,grid_row,grid_col,num_grid_cells,mean_flow_magnitude,flow_direction_coherence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_ratio,motion_energy,mean_motion,max_motion,motion_density,center_x,center_y,aspect_ratio,scale_score,local_peak_score,spatial_novelty_score,small_blob_flag,edge_density,centroid_displacement,temporal_position_stability,texture_flicker_score,object_motion_score,global_motion_score,camera_motion_flag,blob_importance,rank_by_motion_energy,rank_by_importance,persistence_track_id,persistence_frames
VIRAT_S_050300_07_001623_001690,6,0.2002,0,merged,0,5,13,12,0.0,0.0,1056,108,1632,378,576,270,0.075,12738.3379,0.081908,1.0,0.081908,1344.0,243.0,2.1333,3.651459,5.707621,1.0,False,0.130337,0.0,0.0,0.0,0.2,0.522831,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,12,0.4004,0,merged,"0,2",4,12,5,3.1791,0.7454,1056,108,1344,378,288,270,0.0375,7254.8301,0.093298,1.0,0.093298,1200.0,243.0,1.0667,5.163909,4.040721,1.0,False,0.125604,0.0,0.0,0.0,0.46089,0.52888,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,18,0.6006,0,merged,"0,1",4,13,8,3.9389,0.6288,1056,162,1536,378,480,216,0.05,10073.9277,0.097164,1.0,0.097164,1296.0,270.0,2.2222,4.472091,4.56575,0.5,False,0.134539,0.0,0.0,0.0,0.42008,0.522148,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,24,0.8008,0,merged,"0,1",4,13,10,4.9915,0.77,1056,108,1632,378,576,270,0.075,13271.2178,0.085334,1.0,0.085334,1344.0,243.0,2.1333,3.651459,2.963396,0.0,False,0.12354,0.0,0.0,0.0,0.4695,0.525952,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,30,1.001,0,merged,"0,1",4,13,10,4.4434,0.7586,1056,108,1536,378,480,270,0.0625,12509.6367,0.096525,1.0,0.096525,1296.0,243.0,1.7778,3.999968,4.44324,0.245131,False,0.126551,0.0,0.0,0.0,0.46551,0.529685,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,36,1.2012,0,merged,"0,1",4,13,7,4.793,0.7692,1056,162,1536,378,480,216,0.05,10266.8975,0.099025,1.0,0.099025,1296.0,270.0,2.2222,4.472091,4.37394,0.0,False,0.135147,0.0,0.0,0.0,0.46922,0.526292,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,42,1.4014,0,merged,"0,1",4,13,9,4.5051,0.7179,1056,108,1536,432,480,324,0.075,12360.0918,0.079476,1.0,0.079476,1296.0,270.0,1.4815,3.651459,4.381124,0.0,False,0.129906,0.0,0.0,0.0,0.451265,0.529837,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,48,1.6016,0,merged,"0,1,2",4,13,7,5.047,0.6175,1056,162,1536,432,480,270,0.0625,10516.0762,0.081143,1.0,0.081143,1296.0,297.0,1.7778,3.999968,3.519736,0.245131,False,0.135756,0.0,0.0,0.0,0.416125,0.53645,True,0.3,1,1,0,27
VIRAT_S_050300_07_001623_001690,54,1.8018,0,merged,"0,1",7,15,5,9.141,0.7399,1440,270,1632,486,192,216,0.02,5268.3071,0.127033,1.0,0.127033,1536.0,378.0,0.8889,7.070891,9.663883,1.0,False,0.125145,0.0,0.0,0.0,0.458965,0.532845,True,0.775,1,1,2,11
VIRAT_S_050300_07_001623_001690,54,1.8018,1,merged,"2,3",4,12,4,5.577,0.6234,1056,162,1344,324,288,162,0.0225,3662.1362,0.078492,0.767086,0.078492,1200.0,243.0,1.7778,6.666519,5.971213,0.871576,False,0.143647,0.0,0.0,0.0,0.41819,0.532845,True,0.0,2,2,0,27
