video_name,sampled_idx,frame_idx,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,bbox_area_ratio,center_x,center_y,observation_type,motion_inside_mean,motion_inside_sum,motion_coverage,motion_density,motion_peak,expanded_motion_mean,expanded_motion_coverage,associated_blob_ids,associated_blob_count,mean_associated_blob_importance
VIRAT_S_050300_07_001623_001690,0,6,0.2002,8,7,truck,0.490142,635,645,898,776,0.01665531,766.98,711.28,detector_only,0.014403,496.2293,0.003628,0.793952,0.074003,0.012506,0.002676,,0,0.0
VIRAT_S_050300_07_001623_001690,0,6,0.2002,9,2,car,0.420834,1512,311,1575,346,0.00107789,1544.23,329.31,weak_motion,0.383654,845.958,1.0,21.148471,0.818924,0.277354,0.855536,,0,0.0
VIRAT_S_050300_07_001623_001690,1,12,0.4004,8,7,truck,0.482487,636,650,895,778,0.01597132,765.89,714.09,detector_only,0.01832,607.3408,0.003439,1.179265,0.078411,0.01833,0.009626,,0,0.0
VIRAT_S_050300_07_001623_001690,1,12,0.4004,9,2,car,0.449979,1501,305,1568,342,0.00118993,1534.89,324.11,weak_motion,0.436146,1081.2058,1.0,28.075054,0.779921,0.282039,0.76713,,0,0.0
VIRAT_S_050300_07_001623_001690,2,18,0.6006,8,7,truck,0.482126,636,648,896,776,0.01606062,766.57,712.56,detector_only,0.01895,630.6648,0.005529,1.29089,0.064852,0.017965,0.012641,,0,0.0
VIRAT_S_050300_07_001623_001690,2,18,0.6006,9,2,car,0.460155,1489,297,1559,336,0.00130964,1524.28,316.71,weak_motion,0.380962,1040.0249,0.99011,25.951056,0.70791,0.240365,0.71371,,0,0.0
VIRAT_S_050300_07_001623_001690,3,24,0.8008,8,7,truck,0.559489,638,653,891,778,0.01530543,765.02,715.93,detector_only,0.023241,735.009,0.037502,1.564024,0.097075,0.023103,0.028614,,0,0.0
VIRAT_S_050300_07_001623_001690,3,24,0.8008,9,2,car,0.490369,1476,292,1547,332,0.00136332,1512.33,312.32,weak_motion,0.331992,942.8572,0.996479,22.341317,0.657436,0.206737,0.687911,,0,0.0
VIRAT_S_050300_07_001623_001690,4,30,1.001,8,7,truck,0.530414,634,651,892,779,0.01591884,763.39,715.32,detector_only,0.021664,715.4378,0.030766,1.15327,0.099731,0.01926,0.0223,,0,0.0
VIRAT_S_050300_07_001623_001690,4,30,1.001,9,2,car,0.318348,1468,287,1536,326,0.00129655,1502.43,307.41,weak_motion,0.376236,997.7792,0.998492,20.02856,0.770115,0.229225,0.724031,,0,0.0
