tube_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,num_frames,mean_bbox_area_ratio,mean_motion_energy,mean_motion_density,max_motion_density,mean_blob_importance,max_blob_importance,temporal_persistence,motion_peak,motion_variance,trajectory_length,mean_speed,spatial_novelty_mean,scale_score_mean,small_tube_flag,tube_importance
1,54,114,1.8018,3.8038,2.002,11,0.01659091,7137.0345,0.218639,0.317038,0.656818,0.775,0.033033,0.317038,0.003349,551.08,275.2662,0.495779,8.965999,False,0.565718
0,6,162,0.2002,5.4054,5.2052,27,0.04074074,8148.2647,0.102167,0.137852,0.173148,0.3,0.081081,0.137852,0.000308,1193.67,229.3226,0.264805,5.736807,False,0.265875
3,186,210,6.2062,7.007,0.8008,5,0.0105,2574.8293,0.149143,0.223563,0.242198,0.535991,0.015015,0.223563,0.002208,192.22,240.0325,0.417262,12.964543,False,0.424625
2,156,228,5.2052,7.6076,2.4024,12,0.03604167,11365.8561,0.198874,0.325848,0.409507,0.7,0.036036,0.325848,0.007196,802.34,333.9748,0.541587,7.453355,False,0.541642
5,234,246,7.8078,8.2082,0.4004,3,0.0025,716.5486,0.138223,0.170287,0.120802,0.172351,0.009009,0.170287,0.00073,220.29,550.1766,0.5,19.996001,False,0.452631
6,240,252,8.008,8.4084,0.4004,3,0.0025,589.3675,0.11369,0.120988,0.032474,0.079586,0.009009,0.120988,5.4e-05,0.0,0.0,0.0,19.996001,False,0.20038
8,318,324,10.6106,10.8108,0.2002,2,0.0025,698.4378,0.13473,0.158067,0.162176,0.169352,0.006006,0.158067,0.000545,0.0,0.0,0.5,19.996001,False,0.346352
4,204,348,6.8068,11.6116,4.8048,25,0.0404,13123.8196,0.175709,0.304454,0.401592,0.625,0.075075,0.304454,0.002666,1288.39,268.1456,0.316116,6.582289,False,0.467343
10,384,396,12.8128,13.2132,0.4004,3,0.0025,751.9939,0.145061,0.161385,0.209284,0.583701,0.009009,0.161385,0.000185,0.0,0.0,0.333333,19.996001,False,0.415435
9,336,414,11.2112,13.8138,2.6026,13,0.03307692,5489.2826,0.096272,0.177639,0.141978,0.315,0.039039,0.177639,0.000846,759.96,292.0011,0.184698,7.525446,False,0.249221
7,276,444,9.2092,14.8148,5.6056,27,0.02166667,5045.3975,0.155103,0.475376,0.309562,0.775,0.081081,0.475376,0.007825,1633.62,291.4268,0.432824,11.070174,False,0.598948
12,468,480,15.6156,16.016,0.4004,2,0.01125,2950.8315,0.164845,0.214153,0.2175,0.435,0.006006,0.214153,0.002431,55.07,137.5442,0.75,13.533446,False,0.460987
13,510,546,17.017,18.2182,1.2012,6,0.00791667,1624.7558,0.116769,0.148551,0.2675,0.775,0.018018,0.148551,0.000834,82.07,68.3256,0.19682,13.124593,False,0.356392
14,570,654,19.019,21.8218,2.8028,13,0.00557692,1257.4771,0.141763,0.249584,0.300049,0.775,0.039039,0.249584,0.002029,220.29,78.5967,0.230769,17.945311,False,0.476922
15,612,654,20.4204,21.8218,1.4014,7,0.03857143,10961.0464,0.170672,0.25986,0.444787,0.625,0.021021,0.25986,0.003277,184.07,131.3491,0.324447,6.123689,False,0.377924
16,630,654,21.021,21.8218,0.8008,5,0.0025,742.393,0.143208,0.173233,0.071214,0.337818,0.015015,0.173233,0.000678,0.0,0.0,0.2,19.996001,False,0.342271
11,414,672,13.8138,22.4224,8.6086,36,0.0925,16295.921,0.118164,0.246414,0.33555,0.625,0.108108,0.246414,0.003153,2364.25,274.6386,0.345958,4.729856,False,0.417326
19,678,714,22.6226,23.8238,1.2012,7,0.00964286,2927.4963,0.144276,0.176208,0.105687,0.281439,0.021021,0.176208,0.000423,158.15,131.6561,0.285304,13.235254,False,0.315098
17,678,780,22.6226,26.026,3.4034,18,0.02472222,6236.7733,0.177683,0.358963,0.2481,0.716432,0.054054,0.358963,0.00578,724.98,213.0153,0.231191,8.453966,False,0.475531
22,780,798,26.026,26.6266,0.6006,3,0.0025,641.5473,0.123755,0.14567,0.161196,0.18489,0.009009,0.14567,0.000263,96.0,159.8402,0.623859,19.996001,False,0.391712
21,780,816,26.026,27.2272,1.2012,7,0.045,10292.9561,0.128928,0.215929,0.192894,0.427491,0.021021,0.215929,0.001514,344.15,286.5013,0.480262,5.440749,False,0.337252
18,678,894,22.6226,29.8298,7.2072,34,0.00558824,2771.317,0.247592,0.368295,0.476821,0.685,0.102102,0.368295,0.004572,908.74,126.0878,0.251884,14.423511,False,0.621203
24,834,894,27.8278,29.8298,2.002,9,0.0025,650.6613,0.125513,0.147361,0.262674,0.503031,0.027027,0.147361,0.000266,0.0,0.0,0.111111,19.996001,False,0.347305
23,822,924,27.4274,30.8308,3.4034,14,0.00910714,3321.6336,0.180193,0.274967,0.389149,0.718808,0.042042,0.274967,0.001706,391.19,114.9416,0.239436,11.879492,False,0.462051
27,918,948,30.6306,31.6316,1.001,6,0.00291667,1028.0783,0.172262,0.2911,0.285068,0.397253,0.018018,0.2911,0.003144,96.0,95.9041,0.217894,19.020121,False,0.426815
20,678,996,22.6226,33.2332,10.6106,51,0.03955882,6861.4476,0.118068,0.203997,0.151647,0.455834,0.153153,0.203997,0.001485,2043.22,192.5641,0.212118,8.224364,False,0.399423
26,918,1056,30.6306,35.2352,4.6046,19,0.00789474,1814.4166,0.115289,0.15174,0.148714,0.606601,0.057057,0.15174,0.000291,820.2,178.1269,0.269867,15.550241,False,0.40933
25,870,1062,29.029,35.4354,6.4064,33,0.01462121,5222.0327,0.179801,0.368578,0.285237,0.535,0.099099,0.368578,0.002835,499.07,77.9022,0.131822,9.042342,False,0.441467
29,1056,1068,35.2352,35.6356,0.4004,3,0.00416667,2517.6049,0.285881,0.303569,0.418291,0.525,0.009009,0.303569,0.00039,48.0,119.8801,0.478596,16.092482,False,0.584794
30,1056,1068,35.2352,35.6356,0.4004,3,0.0025,655.8635,0.126517,0.129756,0.240367,0.268281,0.009009,0.129756,7e-06,0.0,0.0,0.0,19.996001,False,0.255275
31,1104,1128,36.8368,37.6376,0.8008,5,0.003,825.4547,0.134991,0.149664,0.225202,0.405,0.015015,0.149664,9.6e-05,48.0,59.9401,0.287158,18.824945,False,0.360188
32,1110,1206,37.037,40.2402,3.2032,15,0.00683333,1731.7233,0.156807,0.244037,0.42737,0.696141,0.045045,0.244037,0.001828,505.9,157.9372,0.30285,17.391616,False,0.500868
34,1230,1284,41.041,42.8428,1.8018,8,0.003125,1417.4201,0.219328,0.256981,0.395127,0.595,0.024024,0.256981,0.001012,240.22,133.3211,0.365756,18.532181,False,0.541109
28,948,1308,31.6316,43.6436,12.012,60,0.01904167,6079.4417,0.189461,0.449156,0.274993,0.775,0.18018,0.449156,0.006212,2564.63,213.5053,0.246809,9.076194,False,0.640149
35,1296,1350,43.2432,45.045,1.8018,8,0.003125,1264.4267,0.203543,0.28233,0.303735,0.525,0.024024,0.28233,0.002461,96.0,53.2801,0.179474,18.532181,False,0.466646
33,1158,1452,38.6386,48.4484,9.8098,50,0.01045,3842.7359,0.202166,0.406113,0.339871,0.7,0.15015,0.406113,0.005199,1151.15,117.3465,0.160231,10.964773,False,0.581844
36,1314,1458,43.8438,48.6486,4.8048,25,0.0073,2329.0373,0.193435,0.304016,0.261247,0.595494,0.075075,0.304016,0.003302,933.82,194.3507,0.177926,15.316066,False,0.516991
39,1524,1530,50.8508,51.051,0.2002,2,0.0025,653.8024,0.126119,0.135435,0.184528,0.214056,0.006006,0.135435,8.7e-05,0.0,0.0,0.5,19.996001,False,0.342103
40,1554,1614,51.8518,53.8538,2.002,10,0.00325,913.658,0.135134,0.173323,0.216617,0.405,0.03003,0.173323,0.000484,449.71,224.6315,0.224513,18.239417,False,0.390428
37,1368,1626,45.6456,54.2542,8.6086,40,0.012,3826.0235,0.174486,0.363293,0.203723,0.749029,0.12012,0.363293,0.004169,1235.23,143.4883,0.218917,11.572442,False,0.551614
38,1452,1626,48.4484,54.2542,5.8058,30,0.01033333,4581.1289,0.222804,0.305556,0.437902,0.685,0.09009,0.305556,0.002174,740.15,127.4838,0.180087,10.667655,False,0.522866
41,1566,1626,52.2522,54.2542,2.002,9,0.0025,683.3438,0.131818,0.188554,0.198318,0.359033,0.027027,0.188554,0.001003,284.31,142.0121,0.319064,19.996001,False,0.399361
42,1602,1656,53.4534,55.2552,1.8018,9,0.00444444,1310.1123,0.142723,0.192478,0.15832,0.309385,0.027027,0.192478,0.000663,253.07,140.4555,0.276696,15.441895,False,0.349199
43,1614,1686,53.8538,56.2562,2.4024,13,0.02153846,6540.5055,0.221178,0.328836,0.317785,0.683258,0.039039,0.328836,0.008912,543.91,226.4034,0.246054,9.03269,False,0.49862
46,1674,1686,55.8558,56.2562,0.4004,3,0.06916667,8878.7274,0.070466,0.091578,0.17,0.255,0.009009,0.091578,0.000231,228.0,569.4306,0.665709,4.877115,False,0.284618
44,1632,1710,54.4544,57.057,2.6026,11,0.0275,4572.8377,0.130516,0.3287,0.29061,0.775,0.033033,0.3287,0.006692,461.26,177.2301,0.464975,11.759979,False,0.48924
48,1698,1716,56.6566,57.2572,0.6006,3,0.00416667,1325.7253,0.147963,0.189479,0.492569,0.775,0.009009,0.189479,0.000891,99.72,166.0417,0.383507,16.092482,False,0.470032
45,1644,1752,54.8548,58.4584,3.6036,11,0.00318182,932.344,0.14425,0.190811,0.403597,0.775,0.033033,0.190811,0.000425,486.1,134.8921,0.319305,18.399107,False,0.49051
49,1896,1932,63.2632,64.4644,1.2012,5,0.004,818.4647,0.10756,0.124215,0.206,0.405,0.015015,0.124215,0.0002,400.52,333.4315,0.529242,17.996701,False,0.416923
47,1692,1998,56.4564,66.6666,10.2102,52,0.08807692,23815.9472,0.138407,0.212386,0.282049,0.625,0.156156,0.212386,0.000862,2352.12,230.3692,0.238585,3.674369,False,0.429685
