frame_idx,timestamp_sec,motion_magnitude_mean,motion_magnitude_sum,motion_area_ratio,motion_entropy,motion_concentration,small_motion_energy,new_motion_region_score,scene_change_score,global_motion_dx,global_motion_dy,global_motion_scale,global_motion_rotation,global_motion_score,residual_motion_mean,residual_motion_area_ratio,camera_motion_flag
6,0.2002,0.014351,29757.4727,0.026999,0.926522,0.562355,154.812334,0.0,0.0,-0.1273,0.104,1.000014,-4e-05,0.522831,0.011516,0.019921,True
12,0.4004,0.023089,47878.1016,0.031414,1.531246,0.385722,203.874919,0.010888,0.608944,0.4537,-0.1147,0.999955,-3.9e-05,0.52888,0.020026,0.022632,True
18,0.6006,0.021281,44128.2227,0.038319,1.539777,0.422326,375.861459,0.010982,0.136804,0.671,-0.7329,1.000062,0.000126,0.522148,0.015931,0.033513,True
24,0.8008,0.028796,59711.7305,0.046185,1.730468,0.332934,610.43343,0.030286,0.47117,-2.0026,-0.1859,1.000057,7e-05,0.525952,0.020929,0.028418,True
30,1.001,0.021724,45046.8828,0.039217,1.545546,0.432811,404.632017,0.007632,0.0,-0.7711,-0.3138,0.99991,-0.00018,0.529685,0.016834,0.039037,True
36,1.2012,0.02264,46945.7422,0.031459,1.500315,0.365777,264.955762,0.00571,0.036227,-0.2521,-0.0625,1.00003,-1.5e-05,0.526292,0.022448,0.026341,True
42,1.4014,0.018141,37616.1758,0.031318,1.229696,0.449087,127.941098,0.010449,0.0,0.0389,0.3958,0.999974,-4.5e-05,0.529837,0.013545,0.021775,True
48,1.6016,0.023054,47803.9062,0.032707,1.530436,0.354956,259.508556,0.011607,0.07568,0.3988,0.0698,1.000043,1.4e-05,0.53645,0.023418,0.034309,True
54,1.8018,0.013145,27257.6914,0.02449,0.841223,0.509197,107.145043,0.021599,0.0,0.0513,0.2212,1.000021,-3.9e-05,0.532845,0.013433,0.022713,True
60,2.002,0.0191,39605.5156,0.026707,1.278321,0.397887,58.204212,0.020654,0.0,0.247,0.1584,1.000024,-3.4e-05,0.536254,0.020323,0.019637,True
66,2.2022,0.014357,29771.584,0.028712,0.884252,0.550234,129.053011,0.064814,0.0,0.5216,-0.3292,0.999982,-5.6e-05,0.534591,0.013125,0.022346,True
72,2.4024,0.019468,40368.6367,0.031252,1.285577,0.42308,185.190025,0.028903,0.0,0.8311,-0.7327,1.000015,-5.9e-05,0.535391,0.020919,0.029413,True
78,2.6026,0.015535,32213.1504,0.032421,0.991203,0.56801,270.636444,0.083906,0.0,0.2756,-0.5582,1.000081,-8e-06,0.524771,0.013758,0.028546,True
84,2.8028,0.021184,43926.6016,0.032828,1.358705,0.444738,113.874442,0.037083,0.081028,-2.0189,0.2334,1.000005,-2e-06,0.529132,0.020387,0.024511,True
90,3.003,0.015656,32463.3125,0.030345,0.944262,0.547806,180.971258,0.038368,0.0,-0.0682,0.5089,1.000027,-9e-05,0.522369,0.014516,0.02534,True
96,3.2032,0.019978,41426.4219,0.03251,1.274988,0.454459,165.186363,0.024267,0.096017,0.1921,0.5765,1.000009,6.2e-05,0.527965,0.018434,0.022436,True
102,3.4034,0.018818,39020.5898,0.04363,1.073992,0.627639,253.705895,0.1317,0.047665,-0.3867,0.6828,1.00006,2e-05,0.528309,0.013409,0.02471,True
108,3.6036,0.024749,51319.0859,0.043553,1.688372,0.407449,702.679421,0.01285,0.372691,-0.2492,0.3717,0.999957,-9.4e-05,0.526693,0.022227,0.037575,True
