group_id,motion_pattern,selection_status,rejection_reason,replacement_reason,selection_reason,pattern_reason,start_sec,end_sec,duration_sec,original_score,revised_event_score,event_relevance_score,event_score,selected_rank_before,selected_rank_after,duration_score,persistence_score,high_importance_blob_score,spatial_compactness_score,human_scale_motion_score,vehicle_only_penalty,short_event_penalty,interaction_without_person_penalty,motion_score,object_proximity_score,interaction_score,interaction_dwell_score,semantic_anchor_score,stop_or_slowdown_score,localized_persistence_score,small_critical_motion_score,transit_penalty,background_flow_penalty,jitter_penalty,net_displacement_ratio,path_linearity,direction_consistency,speed_mean,speed_cv,stop_ratio,dwell_ratio,object_proximity_ratio,dwell_near_object_ratio,person_vehicle_dwell_ratio,interaction_ratio,person_near_frames,vehicle_near_frames,mean_blob_importance,max_blob_importance,high_importance_frame_ratio,door_trunk_ratio,entrance_ratio,mean_bbox_area_ratio,mean_flow_coherence,num_member_blobs,num_blob_active_frames,bbox_sequence_len
9,event_motion,rejected,max_roi_tracks_reached,,,localized_vehicle_dwell_motion;strong_interaction_score;localized_small_blob_dwell,24.2,34.2,10.0,2.4396,3.279165,2.4396,0.604999,1,4,0.7143,0.6223,0.5691,0.974,0.4065,0.8,0.0,0.3375,0.733,1.0,0.45,0.6323,0.2,1.0,0.244,0.5637,0.12,0.0804,0.0,0.0354,0.3333,0.0,0.0441,1.9293,0.7647,0.7647,1.0,0.8431,0.0,0.0,0,51,0.2033,0.685,0.1111,0.0,0.0,0.0026,0.768,18,18,51
7,event_motion,rejected,shared_auxiliary_track,,,localized_vehicle_dwell_motion;strong_interaction_score;small_localized_near_object;stop_and_go_near_object;localized_small_blob_dwell;localized_near_object_motion,15.4,19.6,4.2,2.3703,3.28091,2.3703,0.629087,2,3,0.3,0.1561,0.658,0.975,0.0,0.0,0.0667,0.0,0.4587,0.9545,0.6228,0.2,0.1273,0.8844,0.54,0.8205,0.12,0.0819,0.0,0.0085,0.182,0.8559,0.0157,0.8621,0.4286,0.9524,0.5455,0.1818,0.0,0.0909,2,12,0.45,0.45,1.0,0.0909,0.0909,0.0025,0.5296,1,1,22
10,event_motion,rejected,max_roi_tracks_reached,,,localized_vehicle_dwell_motion;strong_interaction_score,40.2,42.6,2.4,2.1158,1.3005,2.1158,0.52405,3,9,0.1714,0.1445,0.1501,0.975,0.0,0.8,0.4667,0.3375,0.3923,1.0,0.45,0.5192,0.2,1.0,0.132,0.461,0.12,0.0764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6923,0.0,0.0,0,13,0.11,0.155,0.0,0.0,0.0,0.0025,0.5891,2,2,13
1,event_motion,rejected,shared_auxiliary_track,,,localized_vehicle_dwell_motion;strong_interaction_score;localized_small_blob_dwell;localized_near_object_motion,0.2,9.4,9.2,2.0584,2.980705,2.0584,0.616669,4,6,0.6571,0.6206,0.7152,0.962,0.47,0.8,0.0,0.3375,0.7987,1.0,0.45,0.5107,0.2,0.5744,0.3317,0.644,0.12,0.0824,0.0,0.0354,0.2124,0.0,0.0905,0.8719,0.3846,0.3846,1.0,0.6809,0.0,0.0,0,47,0.2764,0.61,0.4286,0.0,0.0,0.0038,0.7127,14,14,47
2,event_motion,selected,,,long_persistent_priority,localized_vehicle_dwell_motion;strong_interaction_score;localized_small_blob_dwell;localized_near_object_motion,0.2,21.4,21.2,1.9984,3.449275,1.9984,0.626561,5,2,1.0,0.7651,0.7773,0.964,0.8064,0.8,0.0,0.3375,0.8362,1.0,0.45,0.3855,0.2,0.5438,0.3816,0.6898,0.12,0.0823,0.0,0.15,0.1061,0.0,0.1389,1.4114,0.4028,0.4028,1.0,0.514,0.0,0.0,0,107,0.318,0.775,0.3699,0.0,0.0,0.0036,0.7452,75,73,107
4,event_motion,rejected,max_roi_tracks_reached,,,localized_vehicle_dwell_motion;strong_interaction_score;localized_small_blob_dwell;localized_near_object_motion,4.0,21.4,17.4,1.633,3.032835,1.633,0.62068,6,5,1.0,0.7158,0.7648,0.957,0.7783,0.8,0.0,0.3375,0.8011,1.0,0.45,0.4006,0.2,0.4331,0.3347,0.6469,0.3,0.0823,0.0,0.0707,0.0906,0.0,0.1126,0.7807,0.3061,0.3061,1.0,0.5341,0.0,0.0,0,88,0.279,0.775,0.4,0.0,0.0,0.0043,0.6893,50,50,88
6,event_motion,selected,,,long_persistent_priority,person_vehicle_proximity_dwell;person_vehicle_temporal_dwell;stop_and_go_near_object,13.8,42.6,28.8,1.425,3.73646,1.425,0.494065,7,1,1.0,0.8168,0.8258,0.785,0.8584,0.0,0.0,0.0,0.7011,1.0,0.4776,0.6105,0.1834,0.675,0.1562,0.0,0.12,0.0801,0.0,0.1581,0.0569,0.0,0.1423,1.8118,0.5,0.5,1.0,0.5034,0.0897,0.131,19,145,0.3124,0.775,0.554,0.131,0.131,0.0215,0.8382,238,139,145
8,event_motion,rejected,shared_auxiliary_track,,,strong_interaction_score;localized_near_object_motion,19.0,25.6,6.6,1.2004,1.57526,1.2004,0.563637,8,8,0.4714,0.1713,0.5976,0.963,0.2817,0.8,0.0,0.3375,0.6173,1.0,0.45,0.6618,0.2,0.0,0.432,0.736,0.75,0.0794,0.0,0.0177,1.0,1.0,0.125,0.0,0.0,0.0,1.0,0.8824,0.0,0.0,0,34,0.36,0.405,0.5,0.0,0.0,0.0037,0.8724,2,2,34
3,event_motion,rejected,max_roi_tracks_reached,,,localized_small_blob_dwell,0.2,3.4,3.2,0.9198,1.651045,0.9198,0.074053,9,7,0.2286,0.3865,0.5561,0.971,0.0,0.0,0.2889,0.0,0.7431,0.0,0.0,0.0,0.0,0.0,0.3507,0.7715,0.12,0.0824,0.0,0.0177,1.0,1.0,0.025,2.0,0.8,0.8,0.0,0.0,0.0,0.0,0,0,0.2923,0.4544,0.3333,0.0,0.0,0.0029,0.8088,6,6,17
5,event_motion,rejected,max_roi_tracks_reached,,,localized_small_blob_dwell,4.8,6.8,2.0,0.6958,0.98067,0.6958,0.025683,10,10,0.1429,0.1747,0.4881,0.975,0.0,0.0,0.5556,0.0,0.4688,0.0,0.0,0.0,0.0,0.0,0.2339,0.6644,0.12,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.1949,0.3898,0.5,0.0,0.0,0.0025,0.7439,2,2,11
