video_name,sampled_idx,frame_idx,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,bbox_area_ratio,center_x,center_y
VIRAT_S_000201_06_001354_001397,0,6,0.2,1,2,car,0.841749,720,462,858,527,0.00977398,789.51,495.09
VIRAT_S_000201_06_001354_001397,0,6,0.2,2,2,car,0.810045,849,430,956,480,0.00585316,902.84,455.43
VIRAT_S_000201_06_001354_001397,0,6,0.2,3,2,car,0.781025,657,496,799,556,0.00942279,728.58,526.58
VIRAT_S_000201_06_001354_001397,0,6,0.2,4,2,car,0.748734,343,414,425,463,0.00441646,384.64,439.18
VIRAT_S_000201_06_001354_001397,0,6,0.2,5,2,car,0.733042,950,330,1008,358,0.00173505,979.26,344.39
VIRAT_S_000201_06_001354_001397,0,6,0.2,6,2,car,0.728949,794,454,913,503,0.00627916,854.07,478.94
VIRAT_S_000201_06_001354_001397,0,6,0.2,7,2,car,0.678755,715,378,796,414,0.00316152,756.18,396.27
VIRAT_S_000201_06_001354_001397,0,6,0.2,8,2,car,0.677246,392,397,470,445,0.00405624,431.35,421.58
VIRAT_S_000201_06_001354_001397,0,6,0.2,9,2,car,0.656354,241,366,312,402,0.00282811,276.63,384.34
VIRAT_S_000201_06_001354_001397,0,6,0.2,10,2,car,0.626304,121,373,262,416,0.00673855,191.91,394.97
VIRAT_S_000201_06_001354_001397,0,6,0.2,11,2,car,0.583631,1052,310,1101,333,0.0012302,1076.98,322.11
VIRAT_S_000201_06_001354_001397,0,6,0.2,12,2,car,0.567808,591,373,669,410,0.00314964,630.53,391.87
VIRAT_S_000201_06_001354_001397,0,6,0.2,13,2,car,0.538773,1073,356,1151,390,0.00295021,1112.51,373.31
VIRAT_S_000201_06_001354_001397,0,6,0.2,14,2,car,0.505194,104,350,210,382,0.00374581,157.37,366.36
VIRAT_S_000201_06_001354_001397,0,6,0.2,15,2,car,0.491179,459,430,550,483,0.00520535,505.14,456.72
VIRAT_S_000201_06_001354_001397,0,6,0.2,16,2,car,0.368302,503,382,585,424,0.00371826,544.43,403.39
VIRAT_S_000201_06_001354_001397,0,6,0.2,17,2,car,0.366496,459,428,581,481,0.00716883,520.55,455.02
VIRAT_S_000201_06_001354_001397,0,6,0.2,18,2,car,0.351745,990,389,1076,422,0.00305243,1033.89,405.81
VIRAT_S_000201_06_001354_001397,0,6,0.2,19,2,car,0.321702,195,373,269,412,0.00316518,232.78,393.15
VIRAT_S_000201_06_001354_001397,0,6,0.2,20,2,car,0.287813,104,357,197,382,0.00251225,151.14,369.78
VIRAT_S_000201_06_001354_001397,0,6,0.2,21,2,car,0.284616,575,381,614,416,0.00150584,595.25,399.01
VIRAT_S_000201_06_001354_001397,0,6,0.2,22,2,car,0.261211,613,374,669,409,0.00212894,641.58,392.18
