tube_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,num_frames,mean_bbox_area_ratio,mean_motion_energy,mean_motion_density,max_motion_density,mean_blob_importance,max_blob_importance,temporal_persistence,motion_peak,motion_variance,trajectory_length,mean_speed,spatial_novelty_mean,scale_score_mean,small_tube_flag,tube_importance
2,18,78,0.6,2.6,2.0,6,0.00291667,346.9771,0.12938,0.152072,0.292291,0.454405,0.028169,0.152072,0.000165,18.0,9.0,0.207522,19.020121,False,0.271366
0,12,120,0.4,4.0,3.6,14,0.00375,480.7418,0.14661,0.21849,0.276378,0.61,0.065728,0.21849,0.001022,194.72,54.0875,0.186212,17.609028,False,0.359489
4,150,162,5.0,5.4,0.4,2,0.0025,308.4076,0.133858,0.156422,0.206369,0.33,0.00939,0.156422,0.000509,73.43,183.5756,1.0,19.996001,False,0.488202
5,168,180,5.6,6.0,0.4,2,0.0025,325.7584,0.141389,0.166058,0.194913,0.389827,0.00939,0.166058,0.000609,0.0,0.0,0.5,19.996001,False,0.329129
1,12,270,0.4,9.0,8.6,39,0.00320513,567.9031,0.201258,0.329598,0.318121,0.7,0.183099,0.329598,0.00441,731.19,85.0225,0.132345,18.538598,False,0.524475
3,150,480,5.0,16.0,11.0,50,0.0043,697.8554,0.186034,0.298282,0.278955,0.775,0.234742,0.298282,0.002573,1019.15,92.6501,0.142605,16.537134,False,0.503265
7,444,498,14.8,16.6,1.8,8,0.0025,515.1596,0.223594,0.331902,0.381945,0.584214,0.037559,0.331902,0.007473,0.0,0.0,0.125,19.996001,False,0.467292
8,600,606,20.0,20.2,0.2,2,0.00375,417.4813,0.121534,0.12374,0.36,0.405,0.00939,0.12374,5e-06,18.0,90.0,0.622565,17.068362,False,0.325713
9,630,636,21.0,21.2,0.2,2,0.005,568.1467,0.123296,0.135289,0.315,0.315,0.00939,0.135289,0.000144,0.0,0.0,0.122565,14.140722,False,0.135041
11,702,750,23.4,25.0,1.6,9,0.00333333,390.2733,0.123942,0.144353,0.124162,0.278094,0.042254,0.144353,0.00011,36.0,22.5,0.138348,18.044241,False,0.204749
10,690,780,23.0,26.0,3.0,15,0.003,438.1352,0.151533,0.209497,0.229343,0.595,0.070423,0.209497,0.001341,145.43,48.4767,0.182359,18.824945,False,0.37263
12,756,864,25.2,28.8,3.6,18,0.00263889,375.0762,0.156745,0.244606,0.203339,0.685,0.084507,0.244606,0.001066,192.0,53.3333,0.128187,19.670708,False,0.41956
14,888,960,29.6,32.0,2.4,13,0.01211538,3109.8787,0.277641,0.354661,0.363742,0.683273,0.061033,0.354661,0.001881,132.0,55.0,0.205323,9.957906,False,0.472482
13,786,1158,26.2,38.6,12.4,61,0.00713115,1333.0375,0.212954,0.383209,0.251292,0.775,0.286385,0.383209,0.004235,865.11,69.7671,0.167579,12.838855,False,0.513317
15,1236,1248,41.2,41.6,0.4,2,0.0025,246.6433,0.10705,0.111546,0.11,0.155,0.00939,0.111546,2e-05,0.0,0.0,0.5,19.996001,False,0.214524
6,276,1278,9.2,42.6,33.4,165,0.02766667,4622.4849,0.220365,0.422446,0.348629,0.775,0.774648,0.422446,0.005994,3436.94,102.9024,0.207119,9.065511,False,0.603359
